"id","platform","company_id","company_code","company_name","symbol"
"94f58421-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf22ff-9d83-11ee-8ba2-c75ffde41a09","ORCL.N","甲骨文Oracle",
"94f58422-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf2300-9d83-11ee-8ba2-c75ffde41a09","BA.N","Boeing",
"94f58423-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf2301-9d83-11ee-8ba2-c75ffde41a09","AMZN.O","Amazon",
"94f58424-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf2302-9d83-11ee-8ba2-c75ffde41a09","0857.HK","中国石油股份",
"94f58425-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf2303-9d83-11ee-8ba2-c75ffde41a09","MSFT.O","微软Microsoft",
"94f58426-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf2304-9d83-11ee-8ba2-c75ffde41a09","1378.HK","中国宏桥",
"94f58427-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf2305-9d83-11ee-8ba2-c75ffde41a09","MAR.O","万豪Marriot",
"94f58428-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf2306-9d83-11ee-8ba2-c75ffde41a09","SE.N","Sea",
"94f58429-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf2307-9d83-11ee-8ba2-c75ffde41a09","CMLT.SI","CapitaLand Integrated Commercial Trust",
"94f5842a-9ff3-11ee-a60e-8f1594dd445b","ubs","cddf2308-9d83-11ee-8ba2-c75ffde41a09","3690.HK","美团",
"982f9684-9d85-11ee-8ba2-c75ffde41a09","gs","cddf22c4-9d83-11ee-8ba2-c75ffde41a09","aeb4e0ac-d481-11d5-8f83-f03a82eb7e91","Nvidia Corp.",
"982f9685-9d85-11ee-8ba2-c75ffde41a09","gs","cddf22c5-9d83-11ee-8ba2-c75ffde41a09","ae83e92a-6531-11d6-9b41-af0cb5cb759c","China Merchants Bank",
"982f9686-9d85-11ee-8ba2-c75ffde41a09","gs","cddf22c6-9d83-11ee-8ba2-c75ffde41a09","75e18f8e-f333-11d5-9c53-cefb9d98b147","NetEase Inc.",
"982f9687-9d85-11ee-8ba2-c75ffde41a09","gs","cddf22c7-9d83-11ee-8ba2-c75ffde41a09","40c85974-6375-11d6-9b81-bf2c85eb258c","Alibaba Group",
"982f9688-9d85-11ee-8ba2-c75ffde41a09","gs","cddf22c8-9d83-11ee-8ba2-c75ffde41a09","8fb59fc0-635b-11d6-9da5-970c30ab47aa","Alphabet Inc.",
"982f9689-9d85-11ee-8ba2-c75ffde41a09","gs","cddf22c9-9d83-11ee-8ba2-c75ffde41a09","c0d8bbb4-d481-11d5-8f83-f03a82eb7e91","Micron Technology Inc.",
"982f968a-9d85-11ee-8ba2-c75ffde41a09","gs","cddf22ca-9d83-11ee-8ba2-c75ffde41a09","af65748a-d481-11d5-8f83-f03a82eb7e91","China Mobile (HK)",
"982f968b-9d85-11ee-8ba2-c75ffde41a09","gs","cddf22cb-9d83-11ee-8ba2-c75ffde41a09","a1953ebc-d481-11d5-8f83-f03a82eb7e91","China Petroleum & Chemical",
"982f968c-9d85-11ee-8ba2-c75ffde41a09","gs","cddf22cc-9d83-11ee-8ba2-c75ffde41a09","ee263108-6358-11d6-8fd4-a31132883bf6","Block Inc.",
"982f968d-9d85-11ee-8ba2-c75ffde41a09","gs","cddf22cd-9d83-11ee-8ba2-c75ffde41a09","f832d4fa-6509-11d6-9b81-bf2c05eba50c","SMIC",
"982f968e-9d85-11ee-8ba2-c75ffde41a09","gs","cddf22ce-9d83-11ee-8ba2-c75ffde41a09","a2e9166c-d481-11d5-8f83-f03a82eb7e91","Hong Kong Exchanges",
"982f968f-9d85-11ee-8ba2-c75ffde41a09","gs","cddf22cf-9d83-11ee-8ba2-c75ffde41a09","66ea7310-f333-11d5-9c53-cefb9d98b147","Carnival Corp.",
"982f9690-9d85-11ee-8ba2-c75ffde41a09","gs","cddf22d0-9d83-11ee-8ba2-c75ffde41a09","512ab12a-c408-11d5-86be-993aaf5c1874","HSBC",
