RMS.FP,爱马仕HERMES,Others,FR0000052292,RMS FP,RMS,,HRMS.PA,HRMS.PA,beadc816-d481-11d5-8f83-f03a82eb7e91,EURONEXT,98
TTE.FP,TOTALENERGIES SE,Others,FR0000120271,TTE FP,TTE,,TTEF.PA,TTEF.PA,,EURONEXT,
OR.FP,欧莱雅L'OREAL,Others,FR0000120321,OR FP,OR,,OREP.PA,OREP.PA,,EURONEXT,
SAN.FP,SANOFI,Others,FR0000120578,SAN FP,SAN,,SANY.PA,SANY.PA,,EURONEXT,
CS.FP,安盛AXA,Others,FR0000120628,CS FP,CS,,AXAF.PA,AXAF.PA,,EURONEXT,
MU.US,Micron Technologies,US,US5951121038,MU US,MU,MU,MU.O,MU.O,,NASDAQ,66
AMD.US,AMD,US,US0079031078,AMD US,AMD,AMD,AMD.O,AMD.O,,NASDAQ,2
NVDA.US,Nvidia,US,US67066G1040,NVDA US,NVDA,NVDA,NVDA.O,NVDA.O,,NASDAQ,6
INTC.US,Intel,US,US4581401001,INTC US,INTC,INTC,INTC.O,INTC.O,,NASDAQ,27
QCOM.US,Qualcomm,US,US7475251036,QCOM US,QCOM,QCOM,QCOM.O,QCOM.O,,NASDAQ,77
PYPL.US,PayPal,US,US70450Y1038,PYPL US,PYPL,PYPL,PYPL.O,PYPL.O,,NASDAQ,33
TSLA.US,特斯拉 Tesla,US,US88160R1014,TSLA US,TSLA,TSLA,TSLA.O,TSLA.O,,NASDAQ,1
ZM.US,Zoom Communication,US,US98980L1017,ZM US,ZM,ZM,ZM.O,ZM.O,,NASDAQ,
COST.US,Costco Wholesale,US,US22160K1051,COST US,COST,COST,COST.O,COST.O,,NASDAQ,125
AAL.US,美国航空,US,US02376R1023,AAL US,AAL,AAL,AAL.O,AAL.O,,NASDAQ,50
AMAT.US,APPLIED应用材料公司,US,US0382221051,AMAT US,AMAT,AMAT,AMAT.O,AMAT.O,,NASDAQ,87
TEAM.US,ATLASSIAN CORP-CL A,US,US0494681010,TEAM US,TEAM,TEAM,TEAM.O,TEAM.O,,NASDAQ,
BYND.US,BEYOND MEAT,US,US08862E1091,BYND US,BYND,BYND,BYND.O,BYND.O,,NASDAQ,134
BNTX.US,BIONTECH SE-ADR,US,US09075V1026,BNTX US,BNTX,BNTX,BNTX.O,BNTX.O,,NASDAQ,
CZR.US,CAESARS ENTERTAINMENT INC,US,US12769G1004,CZR US,CZR,CZR,CZR.O,CZR.O,,NASDAQ,
CRWD.US,CrowdStrike,US,US22788C1053,CRWD US,CRWD,CRWD,CRWD.O,CRWD.O,,NASDAQ,60
DBX.US,DROPBOX,US,US26210C1045,DBX US,DBX,DBX,DBX.O,DBX.O,,NASDAQ,
ETSY.US,ETSY,US,US29786A1060,ETSY US,ETSY,ETSY,ETSY.O,ETSY.O,,NASDAQ,
FFIE.US,FARADAY FUTURE INTELLIGENT E,US,US3073595056,FFIE US,FFIE,FFIE,FFIE.O,FFIE.O,,NASDAQ,
GILD.US,GILEAD SCIENCES INC,US,US3755581036,GILD US,GILD,GILD,GILD.O,GILD.O,,NASDAQ,
ILMN.US,ILLUMINA INC,US,US4523271090,ILMN US,ILMN,ILMN,ILMN.O,ILMN.O,,NASDAQ,
IBKR.US,IB盈透证券,US,US45841N1072,IBKR US,IBKR,IBKR,IBKR.O,IBKR.O,,NASDAQ,162
ISRG.US,INTUITIVE SURGICAL INC,US,US46120E6023,ISRG US,ISRG,ISRG,ISRG.O,ISRG.O,,NASDAQ,
LYFT.US,LYFT,US,US55087P1049,LYFT US,LYFT,LYFT,LYFT.O,LYFT.O,,NASDAQ,
NVAX.US,NOVAVAX INC,US,US6700024010,NVAX US,NVAX,NVAX,NVAX.O,NVAX.O,,NASDAQ,
HOOD.US,ROBINHOOD,US,US7707001027,HOOD US,HOOD,HOOD,HOOD.O,HOOD.O,,NASDAQ,166
ROKU.US,ROKU,US,US77543R1023,ROKU US,ROKU,ROKU,ROKU.O,ROKU.O,,NASDAQ,94
SBUX.US,STARBUCKS星巴克,US,US8552441094,SBUX US,SBUX,SBUX,SBUX.O,SBUX.O,,NASDAQ,152
TXN.US,TI德州仪器,US,US8825081040,TXN US,TXN,TXN,TXN.O,TXN.O,,NASDAQ,151
UAL.US,联合航空,US,US9100471096,UAL US,UAL,UAL,UAL.O,UAL.O,,NASDAQ,57
GDS.US,GDS HOLDINGS LTD - ADR,US,US36165L1089,GDS US,GDS,GDS,GDS.O,GDS.O,,NASDAQ,
MOMO.US,陌陌MOMO,US,US4234031049,MOMO US,MOMO,MOMO,MOMO.O,MOMO.O,,NASDAQ,
IMAB.US,I-MAB-SPONSORED ADR,US,US44975P1030,IMAB US,IMAB,IMAB,IMAB.O,IMAB.O,,NASDAQ,
IQ.US,爱奇艺IQIYI,US,US46267X1081,IQ US,IQ,IQ,IQ.O,IQ.O,,NASDAQ,
KC.US,金山软件,US,US49639K1016,KC US,KC,KC,KC.O,KC.O,,NASDAQ,
ARM.US,ARM Holdings PLC,US,US0420682058,ARM US,ARM,ARM,ARM.O,ARM.O,,NASDAQ,38
AVGO.US,Broadcom,US,,AVGO US,AVGO,AVGO,AVGO.O,AVGO.O,,NASDAQ,116
ASML.US,ASML,US,,ASML US,ASML,ASML,ASML.O,ASML.O,,NASDAQ,12
COIN.US,Coinbase,US,,COIN US,COIN,COIN,COIN.O,COIN.O,,NASDAQ,23
MRNA.US,Moderna莫德纳,US,,MRNA US,MRNA,MRNA,MRNA.O,MRNA.O,,NASDAQ,43
SMCI.US,超微计算机,US,,SMCI US,SMCI,SMCI,SMCI.O,SMCI.O,,NASDAQ,76
RIVN.US,Rivian汽车,US,,RIVN US,RIVN,RIVN,RIVN.O,RIVN.O,,NASDAQ,110
PANW.US,Palo Alto Networks,US,,PANW US,PANW,PANW,PANW.O,PANW.O,,NASDAQ,127
WBD.US,Wells Fargo富国,US,,WBD US,WBD,WBD,WBD.O,WBD.O,,NASDAQ,138
MDB.US,MongoDB,US,,MDB US,MDB,MDB,MDB.O,MDB.O,,NASDAQ,190
ON.US,ON Semiconductor,US,,ON US,ON,ON,ON.O,ON.O,,NASDAQ,149
CMCSA.US,Comcast,US,,CMCSA US,CMCSA,CMCSA,CMCSA.O,CMCSA.O,,NASDAQ,153
WYNN.US,Wynn Resorts Ltd,US,,WYNN US,WYNN,WYNN,WYNN.O,WYNN.O,,NASDAQ,159
LRCX.US,Lam Research,US,,LRCX US,LRCX,LRCX,LRCX.O,LRCX.O,,NASDAQ,180
CME.US,CME集团,US,,CME US,CME,CME,CME.O,CME.O,,NASDAQ,183
MARA.US,Marathon Digital,US,,MARA US,MARA,MARA,MARA.O,MARA.O,,NASDAQ,184
SNPS.US,Synopsys,US,,SNPS US,SNPS,SNPS,SNPS.O,SNPS.O,,NASDAQ,191
TTD.US,Trade Desk,US,,TTD US,TTD,TTD,TTD.O,TTD.O,,NASDAQ,197
MRVL.US,Marvell,US,,MRVL US,MRVL,MRVL,MRVL.O,MRVL.O,,NASDAQ,142
TRIP.US,Tripadvisor,US,,TRIP US,TRIP,TRIP,TRIP.O,TRIP.O,,NASDAQ,139
LULU.US,LuluLemon,US,,LULU US,LULU,LULU,LULU.O,LULU.O,,NASDAQ,129
JPM.US,JP Morgan,Japan,US46625H1005,JPM US,JPM,JPM,JPM.N,JPM.N,,NYSE,46
SPOT.US,SPOTIFY,Singapore,LU1778762911,SPOT US,SPOT,SPOT,SPOT.N,SPOT.N,,NYSE,163
BABA.US,阿里巴巴,US,US01609W1027,BABA US,BABA,BABA,BABA.N,BABA.N,,NYSE,79
BEKE.US,贝壳找房,US,US4824971042,BEKE US,BEKE,BEKE,BEKE.N,BEKE.N,,NYSE,
NIO.US,蔚来汽车,US,US62914V1061,NIO US,NIO,NIO,NIO.N,NIO.N,,NYSE,119
XPEV.US,小鹏汽车,US,US98422D1054,XPEV US,XPEV,XPEV,XPEV.N,XPEV.N,,NYSE,
TSM.US,台积电,US,US8740391003,TSM US,TSM,TSM,TSM.N,TSM.N,,NYSE,7
ORCL.US,甲骨文Oracle,US,US68389X1054,ORCL US,ORCL,ORCL,ORCL.N,ORCL.N,,NYSE,102
AI.US,C3.ai,US,US12468P1049,AI US,AI,AI,AI.N,AI.N,,NYSE,
CRM.US,Salesforce,US,US79466L3024,CRM US,CRM,CRM,CRM.N,CRM.N,,NYSE,78
DIS.US,迪士尼Disney,US,US2546871060,DIS US,DIS,DIS,DIS.N,DIS.N,,NYSE,16
MGM.US,MGM International,US,US5529531015,MGM US,MGM,MGM,MGM.N,MGM.N,,NYSE,192
CCL.US,Carnival,US,PA1436583006,CCL US,CCL,CCL,CCL.N,CCL.N,,NYSE,130
WFC.US,Wells Fargo,US,US9497461015,WFC US,WFC,WFC,WFC.N,WFC.N,,NYSE,32
SQ.US,Block,US,US8522341036,SQ US,SQ,SQ,SQ.N,SQ.N,,NYSE,65
BA.US,Boeing,US,US0970231058,BA US,BA,BA,BA.N,BA.N,,NYSE,
FCX.US,Freeport-McMoRan,US,US35671D8570,FCX US,FCX,FCX,FCX.N,FCX.N,,NYSE,96
