RMS.FP,,,,
1928.HK,ff1f41ae-e4f2-11ee-b30e-3774e444eabf,SANDS CHINA,Sands China,480f2632-63f6-11d6-8746-c6e7797b2b79
6969.HK,ff1f41af-e4f2-11ee-b30e-3774e444eabf,SMOORE INTERNATIONAL,,not found
2382.HK,ff1f41b0-e4f2-11ee-b30e-3774e444eabf,SUNNY OPTICAL TECH,,not found
9868.HK,ff1f41b1-e4f2-11ee-b30e-3774e444eabf,XPENG INC  CLASS A SHARES,,not found
2013.HK,ff1f41b2-e4f2-11ee-b30e-3774e444eabf,WEIMOB,,not found
1519.HK,ff1f41b3-e4f2-11ee-b30e-3774e444eabf,Jitu Express,,not found
2822.HK,ff1f41b4-e4f2-11ee-b30e-3774e444eabf,First Pacific Limited,,not found
3033.HK,ff1f41b5-e4f2-11ee-b30e-3774e444eabf,Evergrande,China Evergrande Group,5b087bea-653a-11d6-8fe9-fcf4041a9e84
9626.HK,ff1f4187-e4f2-11ee-b30e-3774e444eabf,China Life,China Life Insurance Co.,7a612e02-63e5-11d6-869b-e297e26dd5a8
1801.HK,ff1f41b6-e4f2-11ee-b30e-3774e444eabf,China Communications Services,,not found
6066.HK,ff1f41b7-e4f2-11ee-b30e-3774e444eabf,CSC Financial,,not found
9633.HK,ff1f41b8-e4f2-11ee-b30e-3774e444eabf,Nongfu Spring,Nongfu Spring,d277ba40-cd0b-4441-8b7f-f6493b522c6e
1772.HK,ff1f41b9-e4f2-11ee-b30e-3774e444eabf,Ganfeng Lithium Industry,,not found
2601.HK,ff1f41ba-e4f2-11ee-b30e-3774e444eabf,China Pacific Insurance,China Pacific Insurance,8a8ceeda-642e-11d6-81f0-ffd1960b4f1e
1336.HK,ff1f41bb-e4f2-11ee-b30e-3774e444eabf,New China Life,New China Life Insurance,2faac99a-63b8-11d6-80d0-acf25c78585b
6886.HK,ff1f41bc-e4f2-11ee-b30e-3774e444eabf,Huatai Securities,Huatai Securities Co.,cea8fc28-63f0-11d6-989f-8140dff7a82f
1988.HK,ff1f41bd-e4f2-11ee-b30e-3774e444eabf,Minsheng Bank,,not found
0939.HK,ff1f41be-e4f2-11ee-b30e-3774e444eabf,CCB,China Construction Bank,a2477b86-6487-11d6-8f1f-884f79e7a17a
2313.HK,ff1f41bf-e4f2-11ee-b30e-3774e444eabf,China Group,China Evergrande Group,5b087bea-653a-11d6-8fe9-fcf4041a9e84
1658.HK,ff1f41c0-e4f2-11ee-b30e-3774e444eabf,Postal Savings Bank,Postal Savings Bank of China Co.,a0b4a09e-6344-11d6-90c0-bc120ca8583b
1138.HK,ff1f41c1-e4f2-11ee-b30e-3774e444eabf,COSCO Energy Transport,,not found
1339.HK,ff1f41c2-e4f2-11ee-b30e-3774e444eabf,People Insurance Company of China,,not found
2502.JT,ff1f41c3-e4f2-11ee-b30e-3774e444eabf,ASAHI GROUP HOLDINGS,,not found
9984.JT,ff1f41c4-e4f2-11ee-b30e-3774e444eabf,SOFTBANK,Softbank Group,b356c80a-d481-11d5-8f83-f03a82eb7e91
6902.JT,ff1f41c5-e4f2-11ee-b30e-3774e444eabf,DENSO CORP,,not found
7203.JP,ff1f41c6-e4f2-11ee-b30e-3774e444eabf,TOYOTA,Toyota Motor,c0f2287e-d481-11d5-8f83-f03a82eb7e91
7201.JP,ff1f41c7-e4f2-11ee-b30e-3774e444eabf,NISSAN,Nissan Motor,c81035ec-d481-11d5-8f83-f03a82eb7e91
9201.JT,ff1f41c8-e4f2-11ee-b30e-3774e444eabf,JA,,not found
8604.JP,ff1f41c9-e4f2-11ee-b30e-3774e444eabf,Nomura,Nomura HD,c8d7fdca-d481-11d5-8f83-f03a82eb7e91
6501.JT,ff1f41ca-e4f2-11ee-b30e-3774e444eabf,HITACHI,Hitachi Construction Machinery,c0e25c82-d481-11d5-8f83-f03a82eb7e91
6954.JT,ff1f41cb-e4f2-11ee-b30e-3774e444eabf,FANUC,Fanuc,c95fdb8c-d481-11d5-8f83-f03a82eb7e91
6702.JT,ff1f41cc-e4f2-11ee-b30e-3774e444eabf,FUJITSU LIMITED,Fujitsu General,ec1cd663-e316-441c-a684-e865b0bdacc8
7267.JT,ff1f41cd-e4f2-11ee-b30e-3774e444eabf,HONDA MOTOR,Honda Motor,c191f160-d481-11d5-8f83-f03a82eb7e91
8316.JT,ffd08b4a-e4f2-11ee-b30e-3774e444eabf,Sumitomo Mitsui,SMFG,7a01598e-6523-11d6-8090-ec721c3858db
8411.JT,ffd08b4b-e4f2-11ee-b30e-3774e444eabf,Mizuho,Mizuho FG,85cc95f0-651c-11d6-949d-fb4cfb130c90
8031.JT,ffd08b4c-e4f2-11ee-b30e-3774e444eabf,UFJ,MUFG,9d026a1e-d481-11d5-8f83-f03a82eb7e91
8053.JT,ffd08b4d-e4f2-11ee-b30e-3774e444eabf,NewsBank Corporation,,not found
8002.JT,ffd08b4e-e4f2-11ee-b30e-3774e444eabf,Mitsui Fudosan,Mitsui Fudosan,713df030-f333-11d5-9c53-cefb9d98b147
8697.JT,ffd08b4f-e4f2-11ee-b30e-3774e444eabf,Japan Exchange,Japan Exchange Group,b3ee26f0-6509-11d6-9fb9-dcc4d48a8e24
8001.JT,ffd08b50-e4f2-11ee-b30e-3774e444eabf,ITOCHU,Itochu Techno Solutions,713bd07a-f333-11d5-9c53-cefb9d98b147
8410.JT,ffd08b51-e4f2-11ee-b30e-3774e444eabf,Sumitomo Mitsui Trust,,not found
9020.JT,ffd08b52-e4f2-11ee-b30e-3774e444eabf,East Japan Railway,East Japan Railway,c01bf63c-d481-11d5-8f83-f03a82eb7e91
005930.KS,ffd08b53-e4f2-11ee-b30e-3774e444eabf,Samsung Electronics,Samsung Electronics,c7f93c5c-d481-11d5-8f83-f03a82eb7e91
AZN.LN,ffd08b54-e4f2-11ee-b30e-3774e444eabf,ASTRAZENECA,AstraZeneca,c2862c4e-d481-11d5-8f83-f03a82eb7e91
RTN.LN,ffd08b55-e4f2-11ee-b30e-3774e444eabf,RESTAURANT GROUP,First Watch Restaurant Group,2ea01711-e071-4154-afe2-06bc9b4e9ed0
GSK.LN,ffd08b56-e4f2-11ee-b30e-3774e444eabf,GSK,GSK Plc,a1240170-d481-11d5-8f83-f03a82eb7e91
BARC.LN,ffd08b57-e4f2-11ee-b30e-3774e444eabf,Barclays,Barclays Plc,bd570a86-d481-11d5-8f83-f03a82eb7e91
SPT.US,ffd08b58-e4f2-11ee-b30e-3774e444eabf,Sprout,Sprout Social Inc.,44f4d52e-1e05-4333-896d-16be7fb7f866
JD.US,,,,
PDD.US,,,,
NTES.US,,,,
BILI.US,,,,
BIDU.US,,,,
LI.US,,,,
FUTU.US,,,,
AMZN.US,,,,
NFLX.US,,,,
META.US,,,,
GOOGL.US,,,,
MSFT.US,,,,
DDOG.US,,,,
ZS.US,,,,
ADBE.US,,,,
ABNB.US,,,,
AAPL.US,,,,
MAR.US,,,,
MU.US,,,,
AMD.US,,,,
NVDA.US,,,,
INTC.US,,,,
QCOM.US,,,,
PYPL.US,,,,
TSLA.US,,,,
ZM.US,ffd08b5d-e4f2-11ee-b30e-3774e444eabf,Zoom Communication,Zoom Video Communications Inc.,f0a9b396-62b3-11d6-8511-b895ad82baeb
COST.US,ffd08b5e-e4f2-11ee-b30e-3774e444eabf,Costco Wholesale,Costco Wholesale,c8905600-d481-11d5-8f83-f03a82eb7e91
AAL.US,ffd08b5f-e4f2-11ee-b30e-3774e444eabf,American Airlines,American Airlines Group,c9f904c4-d481-11d5-8f83-f03a82eb7e91
AMAT.US,ffd08b60-e4f2-11ee-b30e-3774e444eabf,APPLIED,Applied Materials Inc.,c8797156-d481-11d5-8f83-f03a82eb7e91
TEAM.US,ffd08b61-e4f2-11ee-b30e-3774e444eabf,ATLASSIAN CORP CL A,,not found
BYND.US,ffd08b62-e4f2-11ee-b30e-3774e444eabf,BEYOND MEAT,Beyond Meat Inc.,d45d93b2-62b1-11d6-99fe-940f872b75e9
BNTX.US,ffd08b63-e4f2-11ee-b30e-3774e444eabf,BIONTECH SE ADR,,not found
CZR.US,ffd08b64-e4f2-11ee-b30e-3774e444eabf,CAESARS ENTERTAINMENT,Caesars Entertainment Inc.,57717ff0-6b8c-4749-9dd3-740de5d54d9f
CRWD.US,ffd08b65-e4f2-11ee-b30e-3774e444eabf,CrowdStrike,CrowdStrike,043bf366-62ae-11d6-9190-9f21762b9f2e
DBX.US,ffd08b66-e4f2-11ee-b30e-3774e444eabf,DROPBOX,Dropbox Inc.,7d25d926-62f0-11d6-896e-e49f37bb8569
ETSY.US,ffd08b67-e4f2-11ee-b30e-3774e444eabf,ETSY,Etsy Inc.,559cd456-6366-11d6-9589-df0fe795770f
FFIE.US,ffd08b68-e4f2-11ee-b30e-3774e444eabf,FARADAY FUTURE INTELLIGENT,,not found
GILD.US,ffd08b69-e4f2-11ee-b30e-3774e444eabf,GILEAD SCIENCES,Gilead Sciences Inc.,c8ab46d6-d481-11d5-8f83-f03a82eb7e91
ILMN.US,ffd08b6a-e4f2-11ee-b30e-3774e444eabf,ILLUMINA,Illumina Inc.,a255b322-d481-11d5-8f83-f03a82eb7e91
IBKR.US,ffd08b6b-e4f2-11ee-b30e-3774e444eabf,Interactive Brokers,Interactive Brokers Group,84d4a15e-6451-11d6-80f0-8cb2fc18589b
ISRG.US,ffd08b6c-e4f2-11ee-b30e-3774e444eabf,INTUITIVE SURGICAL,Intuitive Surgical Inc.,a243ddaa-d481-11d5-8f83-f03a82eb7e91
LYFT.US,ffd08b6d-e4f2-11ee-b30e-3774e444eabf,LYFT,Lyft Inc.,60166d02-62b7-11d6-942c-9dce8ddb12e3
NVAX.US,ffd08b6e-e4f2-11ee-b30e-3774e444eabf,NOVAVAX,Pfizer Inc.,c88319cc-d481-11d5-8f83-f03a82eb7e91
HOOD.US,ffd08b6f-e4f2-11ee-b30e-3774e444eabf,ROBINHOOD,Robinhood Markets Inc.,02ae0b92-0de1-4595-8197-55337b7c58de
ROKU.US,ffd08b70-e4f2-11ee-b30e-3774e444eabf,ROKU,,not found
SBUX.US,ffd08b71-e4f2-11ee-b30e-3774e444eabf,STARBUCKS,Starbucks Corp.,c7f23812-d481-11d5-8f83-f03a82eb7e91
TXN.US,ffd08b72-e4f2-11ee-b30e-3774e444eabf,TI Texas Instruments,,not found
UAL.US,ffd08b73-e4f2-11ee-b30e-3774e444eabf,United Airlines,United Airlines Holdings,c9043b06-d481-11d5-8f83-f03a82eb7e91
GDS.US,ffd08b74-e4f2-11ee-b30e-3774e444eabf,GDS HOLDINGS,GDS Holdings,9187a778-6340-11d6-81b0-bf31d6cbaffe
MOMO.US,ffd08b75-e4f2-11ee-b30e-3774e444eabf,MOMO,,not found
IMAB.US,ffd08b76-e4f2-11ee-b30e-3774e444eabf,I MAB SPONSORED,,not found
IQ.US,ffd08b77-e4f2-11ee-b30e-3774e444eabf,IQIYI,iQIYI Inc.,c78cb19c-62eb-11d6-9f24-b3b1d2189b96
KC.US,ffd08b78-e4f2-11ee-b30e-3774e444eabf,Kingsoft,Kingsoft Office,865e4315-0da1-4479-870c-80daac942f95
ARM.US,,,,
AVGO.US,ffd08b7a-e4f2-11ee-b30e-3774e444eabf,Broadcom,Broadcom Inc.,b1678572-6354-11d6-9591-ca33caa30e8a
ASML.US,ffd08b7b-e4f2-11ee-b30e-3774e444eabf,ASML,ASML Holding,b826727e-4dba-11d6-81c9-9c877422a6ba
COIN.US,ffd08b7c-e4f2-11ee-b30e-3774e444eabf,Coinbase,Coinbase Global Inc.,edce91b0-b1ef-4d12-b6a2-c3da2da1a223
MRNA.US,ffd08b7d-e4f2-11ee-b30e-3774e444eabf,Moderna,Moderna Inc.,4dd1b4bc-62c6-11d6-9150-df81b6ebff0e
SMCI.US,ffd08b7e-e4f2-11ee-b30e-3774e444eabf,Supermicro Computer,,not found
